,CollegeID,Lifts,WalkingAids,Toilets
0,IR-E-C-1412.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
1,IR-E-U-0064.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
2,IR-E-C-16604.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
3,IR-E-U-0149.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
4,IR-E-U-0197.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
5,IR-E-I-1356.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
6,IR-E-I-1480.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
7,IR-E-U-0613.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
8,IR-E-U-0055.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
9,IR-E-U-0489.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
10,IR-E-U-0615.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
11,IR-E-C-1400.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
12,IR-E-U-0130.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
13,IR-E-U-0620.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
14,IR-E-U-0011.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
15,IR-E-I-1093.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
16,IR-E-C-33777.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
17,IR-E-U-0685.pdf,"Yes, more than 60% of the buildings",Yes,"Yes, more than 80% of the buildings"
18,IR-E-U-0207.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
19,IR-E-U-0530.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
20,IR-E-U-0108.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
21,IR-E-C-1345.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
22,IR-E-U-0454.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
23,IR-E-U-0747.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
24,IR-E-U-0373.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
25,IR-E-S-8898.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
26,IR-E-U-0163.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
27,IR-E-C-1269.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
28,IR-E-C-16504.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
